,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,924000,1537000,2730000,3489000,3589000,3787000,3775000,422000,6407000,3665000,3826000,-220000
IncomeCostOfSales,,,,,,,,755000,,,1092000,
IncomeDistributionExpenses,,,,,,,127000,,,60000,,
IncomeAdministrativExpenses,,,,,,405000,,,359000,126000,1004000,1430000
IncomeGrossProfit,1592000,1519000,1646000,1604000,1305000,1147000,1354000,1174000,920000,1000,2000,3000
IncomeOtherOperatingIncome,5000,5000,5000,6000,6000,5000,5000,4000,27000,14000,17000,7000
IncomeOtherOperatingCosts,7000,8000,11000,12000,14000,16000,12000,12000,19000,112000,989000,1427000
IncomeEBIT,1590000,1515000,1641000,1598000,1297000,1136000,1347000,1166000,928000,-2000,1000,2000
IncomeFinanceIncome,3000,0,,0,0,,,43000,54000,72000,28000,67000
IncomeFinanceCosts,38000,42000,45000,35000,68000,63000,22000,,,,,
IncomeOtherIncome,,,156000,514000,-28000,68000,936000,1355000,1564000,1452000,1603000,1556000
IncomeNetGrossProfit,1408000,1614000,1251000,1103000,906000,,,,,,,
IncomeExtraordinarProfit,,,,,,68000,936000,1355000,1564000,1452000,1603000,1556000
IncomeBeforeTaxProfit,1408000,1614000,1251000,1103000,906000,,,,,,,
IncomeDiscontinuedProfit,,,,,,38000,744000,1102000,1261000,1176000,1456000,1249000
IncomeNetProfit,1136000,1291000,1432000,889000,725000,38000,744000,1102000,1261000,1176000,1456000,1249000
IncomeShareholderNetProfit,1136000,1291000,1432000,889000,725000,,,,,,,
BalanceNoncurrentAssets,1182000,2318000,4442000,5628000,6944000,8390000,9697000,11071000,11949000,13062000,14468000,15691000
BalanceIntangibleAssets,1023000,2153000,2592000,3083000,2893000,3938000,4930000,4966000,6900000,6543000,6571000,6409000
BalanceProperty,46000,53000,61000,100000,116000,175000,241000,234000,236000,225000,424000,213000
BalanceNoncurrentReceivables,72000,72000,72000,72000,205000,205000,205000,205000,205000,205000,205000,205000
BalanceNoncurrInvestments,40000,40000,40000,40000,40000,40000,40000,34000,39000,30000,30000,30000
BalanceOtherNoncurrentAssets,,0,1677000,2332000,3690000,4032000,4281000,5631000,4568000,6060000,7238000,8834000
BalanceCurrentAssets,2797000,2058000,878000,996000,845000,840000,1112000,892000,1519000,1799000,2033000,1938000
BalanceInventory,,,,34000,,4000,4000,6000,9000,298000,72000,83000
BalanceCurrentReceivables,128000,174000,471000,405000,302000,238000,656000,723000,572000,786000,705000,800000
BalanceCurrentInvestments,590000,279000,721000,520000,,664000,,,254000,30000,523000,594000
BalanceCash,1714000,1322000,89000,33000,81000,115000,424000,556000,554000,620000,781000,773000
BalanceOtherCurrentAssets,,,,,,,,,,,,
BalanceAssetsForSale,3979000,4376000,5320000,6623000,7789000,9230000,10808000,11963000,13468000,14862000,16501000,17629000
BalanceTotalAssets,2099000,2843000,3954000,5215000,6386000,7849000,9098000,10234000,11525000,12957000,13845000,14571000
BalanceCapital,101000,101000,110000,110000,110000,110000,110000,110000,112000,112000,112000,112000
BalanceShareCapital,,,,,,,,,,,,
BalanceOwnShares,1343000,1343000,1343000,1343000,2736000,2744000,2744000,2744000,7737000,7737000,7737000,12844000
BalanceReserve,,,,,,,,,,,,
BalanceNonshareCapital,1200000,0,1200000,1200000,1200000,0,1200000,0,800000,,,
BalanceNoncurrentLiabilities,,,,,,,,,,1200000,1200000,1200000
BalanceNoncurrentTradeLiabilities,1200000,1200000,800000,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,0,,,0,,,0,
BalanceNoncurrentLeasing,681000,1533000,166000,208000,204000,1381000,1710000,1729000,743000,1905000,1855000,3059000
BalanceNoncurrentOtherLiabilities,,1219000,,,84000,116000,191000,127000,,200000,,
BalanceCurrentLiabilities,,300000,383000,2016000,,,,,,1200000,1200000,1200000
BalanceCurrentTradePayablesv,800000,,,,,,,,,,,
BalanceCurrentBorrowings,,681000,114000,166000,208000,204000,96000,1710000,113000,743000,131000,1855000
BalanceCurrentObligations,116000,,,,,,,,,,,
BalanceCurrentLeasing,,3979000,4376000,5320000,6623000,7789000,9230000,10808000,11963000,13468000,14862000,16501000
BalanceCurrentOtherLiabilities,17629000,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,
CashflowOperatingCashflow,197000,1441000,1702000,2164000,1633000,2038000,1995000,2120000,2261000,1347000,1716000,1722000
CashflowAmortization,,648000,,,2888000,1929000,3681000,1935000,-992000,-1447000,-1441000,-2099000
CashflowInvestingCashflow,-1837000,-2265000,-2242000,-2369000,-1599000,-1485000,-2455000,-2109000,992000,1447000,1441000,2099000
CashflowCapex,1837000,2265000,2242000,2375000,1603000,2145000,2455000,2109000,50000,-115000,-221000,30000
CashflowFinancingCashflow,-6000,-108000,272000,0,28000,-58000,735000,460000,,9000,,
CashflowShareCapitalCash,17000,,,,,,,,,,,
CashflowDividend,,,,,,-744000,-121000,41000,95000,-210000,-335000,24000
CashflowNetCashflow,-249000,691000,-196000,-4000,73000,,,,,,,
